epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,seconds
1,0.5548613644113728,0.8403799019607843,0.9186004853206137,0.6043472189652292,0.8368421052631579,0.8915,635.39
2,0.450310051149013,0.8575367647058824,0.9456774180110187,0.7013477488567955,0.8263157894736842,0.8933333333333333,5.51
3,0.42118927405453194,0.8569240196078431,0.9515262604276237,0.9117115045848646,0.8526315789473684,0.9066666666666666,5.51
4,0.40335721595614565,0.8639705882352942,0.9561133733948489,0.4192867542568006,0.8473684210526315,0.944,5.79
5,0.379400079302928,0.8756127450980392,0.9610910340661744,0.5267712793852154,0.8631578947368421,0.9285,5.76
6,0.3666079289772931,0.8841911764705882,0.9632692487945094,0.3904802447871158,0.8526315789473684,0.9451666666666667,5.72
7,0.36409376408247385,0.8743872549019608,0.9638050802445349,0.6775657038939626,0.868421052631579,0.9458333333333333,5.63
8,0.34479762138981446,0.8915441176470589,0.9683375165331861,0.4631154763071161,0.868421052631579,0.9328333333333333,6.07
9,0.3267088149692498,0.8958333333333334,0.9707953634176569,0.5565505529704847,0.8789473684210526,0.9351666666666667,5.99
10,0.3122557256297738,0.8958333333333334,0.9736093898082672,0.39591004095579446,0.8473684210526315,0.9366666666666666,6.58
11,0.3198358295302765,0.8946078431372549,0.9724622210187567,0.5776358529141075,0.868421052631579,0.936,7.05
12,0.29945751871256265,0.9034926470588235,0.9757464668451036,0.5927629935114007,0.868421052631579,0.9275,6.49
13,0.31554075140579074,0.9001225490196079,0.9731459398660681,0.40855079732443156,0.8473684210526315,0.9303333333333333,6.40
14,0.26491894364795265,0.9191176470588235,0.98119538841271,0.46185236071285446,0.8526315789473684,0.9296666666666666,8.99
15,0.25126152807006646,0.9246323529411765,0.9825466834688967,0.517742468495118,0.8368421052631579,0.9165,7.91
